# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source-archive: susv4-2018.tgz, sha256 ab6636bca53c7d71d33d2c5149ede574d598fe6ec97fa8b08e0459ef7bcfc104
# derivation: 160 utilities/*.html pages plus 15 special built-ins in utilities/V3_chap02.html
# snapshot-count: 175
# key-sha256: e1c7db29258b2e7e869d9183306e2462261a87d598750d457722824f7b655e7d
# state invariant: every utility is exactly one of open or closed
utility	state	witness	next_action
chmod	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
chown	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
cksum	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
cmp	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
colon	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
comm	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
command	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
compress	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
continue	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
cp	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
crontab	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
csplit	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ctags	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
cut	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
cxref	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
date	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
dd	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
delta	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
df	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
diff	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
dirname	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
dot	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
du	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
echo	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ed	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
env	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
eval	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ex	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
exec	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
exit	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
expand	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
export	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
expr	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
false	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
fc	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
fg	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
file	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
find	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
fold	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
fort77	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
fuser	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
gencat	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
get	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
getconf	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
getopts	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
grep	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
hash	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
head	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
iconv	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
id	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ipcrm	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ipcs	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
jobs	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
join	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
kill	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
lex	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
link	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ln	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
locale	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
localedef	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
logger	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
logname	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
lp	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ls	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
m4	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
mailx	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
make	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
man	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
mesg	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
mkdir	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
mkfifo	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
more	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
mv	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
newgrp	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
nice	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
nl	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
nm	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
nohup	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
od	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
paste	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
patch	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
pathchk	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
pax	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
pr	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
printf	closed	tests:docs/posix/printf_requirements.tsv,scripts/verify_posix_printf_requirements.py,test/test_posix_printf.cpp,test/boot/x86_64_shell_test.py	-
prs	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ps	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
pwd	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qalter	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qdel	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qhold	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qmove	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qmsg	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qrerun	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qrls	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qselect	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qsig	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qstat	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
qsub	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
read	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
readonly	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
renice	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
return	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
rm	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
rmdel	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
rmdir	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
sact	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
sccs	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
sed	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
set	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
sh	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
shift	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
sleep	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
sort	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
split	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
strings	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
strip	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
stty	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
tabs	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
tail	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
talk	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
tee	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
test	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
time	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
times	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
touch	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
tput	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
tr	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
trap	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
true	closed	tests:docs/posix/true_requirements.tsv,scripts/verify_posix_true_requirements.py,test/boot/x86_64_shell_test.py	-
tsort	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
tty	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
type	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
ulimit	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
umask	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
unalias	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
uname	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
uncompress	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
unexpand	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
unget	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
uniq	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
unlink	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
unset	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
uucp	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
uudecode	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
uuencode	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
uustat	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
uux	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
val	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
vi	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
wait	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
wc	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
what	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
who	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
write	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
xargs	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
yacc	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
zcat	open	missing:full_ring3_conformance	Implement or validate the specified behavior and add exact Q35 Ring 3 tests.
