# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: susv4-2018/utilities/V3_chap02.html
# derivation: normative h3-h5 anchors in sections 2.1 through 2.14, excluding Examples headings
# snapshot-count: 70
# key-sha256: 94198e92e4559a4919ea1f481341e474980b1472c0b66732c906673688f7f5af
# anchor-title-sha256: f9be211b16d1e77a9198419d0d85b56d3ca9756ccc6988406c52b9522f737493
# state invariant: every shell-language row is exactly one of open or closed
anchor	title	state	witness	next_action
tag_18_09_02_01	Exit Status	open	missing:exact_tests_for_tag_18_09_02_01	Derive complete normative assertions from tag_18_09_02_01, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_03	Lists	open	missing:exact_tests_for_tag_18_09_03	Derive complete normative assertions from tag_18_09_03, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_03_02	Asynchronous Lists	open	missing:exact_tests_for_tag_18_09_03_02	Derive complete normative assertions from tag_18_09_03_02, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_03_03	Exit Status	open	missing:exact_tests_for_tag_18_09_03_03	Derive complete normative assertions from tag_18_09_03_03, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_03_04	Sequential Lists	open	missing:exact_tests_for_tag_18_09_03_04	Derive complete normative assertions from tag_18_09_03_04, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_03_05	Exit Status	open	missing:exact_tests_for_tag_18_09_03_05	Derive complete normative assertions from tag_18_09_03_05, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_03_06	AND Lists	open	missing:exact_tests_for_tag_18_09_03_06	Derive complete normative assertions from tag_18_09_03_06, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_03_07	Exit Status	open	missing:exact_tests_for_tag_18_09_03_07	Derive complete normative assertions from tag_18_09_03_07, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_03_08	OR Lists	open	missing:exact_tests_for_tag_18_09_03_08	Derive complete normative assertions from tag_18_09_03_08, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_03_09	Exit Status	open	missing:exact_tests_for_tag_18_09_03_09	Derive complete normative assertions from tag_18_09_03_09, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04	Compound Commands	open	missing:exact_tests_for_tag_18_09_04	Derive complete normative assertions from tag_18_09_04, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_01	Grouping Commands	open	missing:exact_tests_for_tag_18_09_04_01	Derive complete normative assertions from tag_18_09_04_01, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_02	Exit Status	open	missing:exact_tests_for_tag_18_09_04_02	Derive complete normative assertions from tag_18_09_04_02, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_03	The for Loop	open	missing:exact_tests_for_tag_18_09_04_03	Derive complete normative assertions from tag_18_09_04_03, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_04	Exit Status	open	missing:exact_tests_for_tag_18_09_04_04	Derive complete normative assertions from tag_18_09_04_04, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_05	Case Conditional Construct	open	missing:exact_tests_for_tag_18_09_04_05	Derive complete normative assertions from tag_18_09_04_05, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_06	Exit Status	open	missing:exact_tests_for_tag_18_09_04_06	Derive complete normative assertions from tag_18_09_04_06, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_07	The if Conditional Construct	open	missing:exact_tests_for_tag_18_09_04_07	Derive complete normative assertions from tag_18_09_04_07, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_08	Exit Status	open	missing:exact_tests_for_tag_18_09_04_08	Derive complete normative assertions from tag_18_09_04_08, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_09	The while Loop	open	missing:exact_tests_for_tag_18_09_04_09	Derive complete normative assertions from tag_18_09_04_09, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_10	Exit Status	open	missing:exact_tests_for_tag_18_09_04_10	Derive complete normative assertions from tag_18_09_04_10, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_11	The until Loop	open	missing:exact_tests_for_tag_18_09_04_11	Derive complete normative assertions from tag_18_09_04_11, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_04_12	Exit Status	open	missing:exact_tests_for_tag_18_09_04_12	Derive complete normative assertions from tag_18_09_04_12, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_05	Function Definition Command	open	missing:exact_tests_for_tag_18_09_05	Derive complete normative assertions from tag_18_09_05, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_09_05_01	Exit Status	open	missing:exact_tests_for_tag_18_09_05_01	Derive complete normative assertions from tag_18_09_05_01, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_10	Shell Grammar	closed	test-group:test/boot/x86_64_shell_test.py#SHELL_GRAMMAR_COMMAND_CASES@tag_18_10_	-
tag_18_10_01	Shell Grammar Lexical Conventions	closed	test-group:test/boot/x86_64_shell_test.py#SHELL_GRAMMAR_COMMAND_CASES@tag_18_10_01.	-
tag_18_10_02	Shell Grammar Rules	closed	test-group:test/boot/x86_64_shell_test.py#SHELL_GRAMMAR_COMMAND_CASES@tag_18_10_02.	-
tag_18_11	Signals and Error Handling	open	missing:exact_tests_for_tag_18_11	Derive complete normative assertions from tag_18_11, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_12	Shell Execution Environment	open	missing:exact_tests_for_tag_18_12	Derive complete normative assertions from tag_18_12, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_13	Pattern Matching Notation	open	missing:exact_tests_for_tag_18_13	Derive complete normative assertions from tag_18_13, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_13_01	Patterns Matching a Single Character	open	missing:exact_tests_for_tag_18_13_01	Derive complete normative assertions from tag_18_13_01, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_13_02	Patterns Matching Multiple Characters	open	missing:exact_tests_for_tag_18_13_02	Derive complete normative assertions from tag_18_13_02, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_13_03	Patterns Used for Filename Expansion	open	missing:exact_tests_for_tag_18_13_03	Derive complete normative assertions from tag_18_13_03, implement missing behavior, and add exact Q35 Ring 3 tests.
tag_18_14	Special Built-In Utilities	open	missing:exact_tests_for_tag_18_14	Derive complete normative assertions from tag_18_14, implement missing behavior, and add exact Q35 Ring 3 tests.
