# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: susv4-2018/utilities/V3_chap02.html
# derivation: the first 31 open parent anchors in canonical shell-language ledger order
# snapshot-count: 31
# ordered-parent-sha256: c8231c3007a620a0c81690dd62a87c0cefd76a2b9b8049e7100e972a82051cb4
# state invariant: every frontier parent remains open until every recursive requirement closes
parent	title	source_member	source_sha256	requirement_count	requirement_sha256	q35_case	state	witness	next_action
tag_18_06_07	Quote Removal	susv4-2018/utilities/V3_chap02.html#tag_18_06_07	3d194cb0e60c3cfd1f3a3ac8bda003143f5f63040a2919dca6d540d60fc2c268	1	59dd8a78ae71e795763808cff38f71b4743f9a176714aefc8dc5f98a55e34dc0	tag_18_06_07.frontier_q35	open	missing:tag_18_06_07_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_07	Redirection	susv4-2018/utilities/V3_chap02.html#tag_18_07	fad2764c6307d3536a9b5fef0b1a1adc2039b12f4868804fa821572cc91684e6	31	d98e2e626c517af0d90da93139a22ed4a9ff261d1cbb61885b365e5ac9658e91	tag_18_07.frontier_q35	open	missing:tag_18_07_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_07_01	Redirecting Input	susv4-2018/utilities/V3_chap02.html#tag_18_07_01	4b3c93f6a12a31b6076d215849eb89eeff7dd7433fae01bc366a39e20fe96697	3	95dbd678d8532e3b61324e1266fd6b4a77dc10f156bd0a2649eb533ed31f1dae	tag_18_07_01.frontier_q35	open	missing:tag_18_07_01_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_07_02	Redirecting Output	susv4-2018/utilities/V3_chap02.html#tag_18_07_02	43236eae3057b6b0f0872f23fe622fdafdb06e3f6359fce73e3ffe977fdd3e49	3	563379d8bfbbff763930491c95248344936704f171b3d2e65c52d673bf0a70c4	tag_18_07_02.frontier_q35	open	missing:tag_18_07_02_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_07_03	Appending Redirected Output	susv4-2018/utilities/V3_chap02.html#tag_18_07_03	0322b032037ba3de435a58e1ea512e2c990638c7bce075785b57bf0cb74dc7d8	3	a5ee4623cd5c9fc9bb1776ede8f44e637ad4b3213683d0bb7f098eea3e3c84bc	tag_18_07_03.frontier_q35	open	missing:tag_18_07_03_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_07_04	Here-Document	susv4-2018/utilities/V3_chap02.html#tag_18_07_04	4e9ad8f022f2f9030cbba3187dcf76b639cbdd0f9c0413bb3b42583cc566ddad	7	26e2679ef8af473829d8c38afcc4de3bdd6d034aefaeba14446fd8c16705d933	tag_18_07_04.frontier_q35	open	missing:tag_18_07_04_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_07_05	Duplicating an Input File Descriptor	susv4-2018/utilities/V3_chap02.html#tag_18_07_05	0f487346a3ddbee8cfb8cb95c4ed534aa793f3f28422934dadfff7c0d8f678dc	2	0b868f8d5d0bf804ca921d188196d3d33c117e84119142ed20d559f48bd45c23	tag_18_07_05.frontier_q35	open	missing:tag_18_07_05_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_07_06	Duplicating an Output File Descriptor	susv4-2018/utilities/V3_chap02.html#tag_18_07_06	b6efd58b4ed62a029350956b957a1fa186470c862a5d3af8bb278055987427bd	2	cf492dfd6618193e8ef9227e7997763b8ac8efa079684f9f7035cd141f6ce3b2	tag_18_07_06.frontier_q35	open	missing:tag_18_07_06_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_07_07	Open File Descriptors for Reading and Writing	susv4-2018/utilities/V3_chap02.html#tag_18_07_07	254f0457e65d3c6226982cceb1d29bae88ea95f07d0521b8d573ff0999af8ede	2	c8cf9789bf2ff7d1bb08df9dedf6564ae6989b828f80085b28be60891f038cb5	tag_18_07_07.frontier_q35	open	missing:tag_18_07_07_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_08	Exit Status and Errors	susv4-2018/utilities/V3_chap02.html#tag_18_08	09c802b538bdb9609eb72d4de1023530e196917623ab9c8602e825fa7d8b3f3d	55	9cdd93808d5454b060c8bf7e24990ec50b6388219950876815cd0ebd8ca196e9	tag_18_08.frontier_q35	open	missing:tag_18_08_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_08_01	Consequences of Shell Errors	susv4-2018/utilities/V3_chap02.html#tag_18_08_01	c5232c47932085702e1b3bdcc884312f20aaff3599e48aa139feb25318658a00	51	9aa1b7b0e58ac8f1bd303f64016bb2a4b805e62ddd5b006c55d6410217b3a5cd	tag_18_08_01.frontier_q35	open	missing:tag_18_08_01_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_09	Shell Commands	susv4-2018/utilities/V3_chap02.html#tag_18_09	8648ee715c86fbd6c98b106743175d17b52124a6804ad4aabb25b8dbb2e21be1	105	1591cd657dab8f678dd2af481b9d2b2706134fef635be257bc396b32e0bd490c	tag_18_09.frontier_q35	open	missing:tag_18_09_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_09_01	Simple Commands	susv4-2018/utilities/V3_chap02.html#tag_18_09_01	4ebe0b8f4eccfe62cf2042051c5c3364feb43024c430cb4510dc40ce2c53679e	31	9349bb751c2f5e7e54e90630c1400dc9a92740a698d4fffb0c7dbbbcadd1994a	tag_18_09_01.frontier_q35	open	missing:tag_18_09_01_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_09_01_01	Command Search and Execution	susv4-2018/utilities/V3_chap02.html#tag_18_09_01_01	9d681a66bb5115a9599807cd9b3904eaea9eb633c74bc31f38a83c29fee03211	11	6d2a06cbcd17a11073d86f46f3aef6aa7cdae1062cef291f7334ef934dc9e3da	tag_18_09_01_01.frontier_q35	open	missing:tag_18_09_01_01_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_09_02	Pipelines	susv4-2018/utilities/V3_chap02.html#tag_18_09_02	51dff7bd3baf0d4232921b5065293afa82a1559aa61ea3a58b527c9693af074e	6	dd7e6d6d335a6a8b69a58f327102dd49055deafbc207c4b6474e6ac2d538f043	tag_18_09_02.frontier_q35	open	missing:tag_18_09_02_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_09_03	Lists	susv4-2018/utilities/V3_chap02.html#tag_18_09_03	fa9b8a2dab2176132f8d34124b989e9213f9e1a6116d6cc5c35761a9b219a19d	23	60b709858dd9d4ee01b49037ba4b42715c2a12b301b276acfaf857545785dcf3	tag_18_09_03.frontier_q35	open	missing:tag_18_09_03_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_09_03_02	Asynchronous Lists	susv4-2018/utilities/V3_chap02.html#tag_18_09_03_02	b5617acbd0c326bd40f5d9ce807d903219cf5da451e907b9bbdcd603c182097f	7	fd08ec2d0999c886d1871ad6091ae80b8c8dd17bc93d791f4ee2be48bc495552	tag_18_09_03_02.frontier_q35	open	missing:tag_18_09_03_02_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_09_04	Compound Commands	susv4-2018/utilities/V3_chap02.html#tag_18_09_04	92d9262a2af1a0861690ef51e483b0523b2d99dc707b9a8333f41f350ee08f9b	29	b799828ef31fe506b5dfc017069fafdc99e4b2cdac74e17522829d1f05ec7a51	tag_18_09_04.frontier_q35	open	missing:tag_18_09_04_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_09_04_01	Grouping Commands	susv4-2018/utilities/V3_chap02.html#tag_18_09_04_01	6ec715763188a673248811922eee1f324ee610d283af0a5ce3611aefbf77e4f9	5	6e5c63b16781ba6ae8f75efe46ad6777d5329fa4eb4ca280ab8a6fad49861002	tag_18_09_04_01.frontier_q35	open	missing:tag_18_09_04_01_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
tag_18_09_04_03	The for Loop	susv4-2018/utilities/V3_chap02.html#tag_18_09_04_03	509f6da5b72217029011e987daffaad3a5211642456e0789cd7d4c1f84b11ff1	4	8a66d703d01edeabe79a7d9b086f23dd036dcb2f404374be929c84be4c10ae22	tag_18_09_04_03.frontier_q35	open	missing:tag_18_09_04_03_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
