# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: source member and assertion hashes are derived from the pinned SUSv4 Issue 7 archive
# derivation: every prose, list, and definition assertion in each selected source section, excluding Examples sections
# snapshot-count: 2644
# ordered-requirement-sha256: 27a3bac20484cf355b2f0ca9a9228ce0604cd19e252d5a9489cfc44269a05e0d
# q35_case invariant: open rows retain their parent probe; closed rows require an assertion-specific executable case
# state invariant: every recursive requirement is exactly open or closed and every open row has a falsifier
requirement	row	domain	parent	ordinal	assertion	assertion_sha256	implementation_requirement	q35_case	state	witness	next_action	falsifier
shell:tag_18_09_04_11.r001	shell:tag_18_09_04_11	shell	tag_18_09_04_11	1	The until loop shall continuously execute one compound-list as long as another compound-list has a non-zero exit status.	636f5d4e5aefcfc7776a2afab7a6f68ab68c2ba80e8669a1be2d164261fb3f7d	Implement until-loop condition and body sequencing, break or continue behavior, redirections, and exit status.	shell:tag_18_09_04_11.q35	open	missing:shell:tag_18_09_04_11.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_11.r001.
shell:tag_18_09_04_11.r002	shell:tag_18_09_04_11	shell	tag_18_09_04_11	2	The format of the until loop is as follows:	ef9b59bc55373e4684f3d3c12726b5a8e722a6f0eddcbfb50cecd43850855994	Implement until-loop condition and body sequencing, break or continue behavior, redirections, and exit status.	shell:tag_18_09_04_11.q35	open	missing:shell:tag_18_09_04_11.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_11.r002.
shell:tag_18_09_04_11.r003	shell:tag_18_09_04_11	shell	tag_18_09_04_11	3	The compound-list-1 shall be executed, and if it has a zero exit status, the until command completes. Otherwise, the compound-list-2 shall be executed, and the process repeats.	6cd823d74b6b828b0c539609eb3358c8fe858c5c2a14e16aa099f5dc9a171cdd	Implement until-loop condition and body sequencing, break or continue behavior, redirections, and exit status.	shell:tag_18_09_04_11.q35	open	missing:shell:tag_18_09_04_11.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_04_11.r003.
shell:tag_18_09_05.r001	shell:tag_18_09_05	shell	tag_18_09_05	1	A function is a user-defined name that is used as a simple command to call a compound command with new positional parameters. A function is defined with a "function definition command".	82491df4bdc13d4db01201c1be7fc5bea1d2f452041459a4c98dfa1c90cc8658	Define functions with the required name, body, positional-parameter, variable, redirection, invocation, and status semantics.	shell:tag_18_09_05.q35	open	missing:shell:tag_18_09_05.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_05.r001.
shell:tag_18_09_05.r002	shell:tag_18_09_05	shell	tag_18_09_05	2	The format of a function definition command is as follows:	2b0d7614cf81add339dc79e4a0f65574efc458358de89ecdade6531204cbf35b	Define functions with the required name, body, positional-parameter, variable, redirection, invocation, and status semantics.	shell:tag_18_09_05.q35	open	missing:shell:tag_18_09_05.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_05.r002.
shell:tag_18_09_05.r003	shell:tag_18_09_05	shell	tag_18_09_05	3	The function is named fname; the application shall ensure that it is a name (see XBD Name) and that it is not the name of a special built-in utility. An implementation may allow other characters in a function name as an extension. The implementation shall maintain separate name spaces for functions and variables.	f6b5ca1e5a37c17888569a7bc042a64c342260421af054e38530c917196e816e	Define functions with the required name, body, positional-parameter, variable, redirection, invocation, and status semantics.	shell:tag_18_09_05.q35	open	missing:shell:tag_18_09_05.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_05.r003.
shell:tag_18_09_05.r004	shell:tag_18_09_05	shell	tag_18_09_05	4	The argument compound-command represents a compound command, as described in Compound Commands.	dfe68323656a476a5a37cf58bea6757f03d4f22ac19329e7d8d3355b7d8ce23a	Define functions with the required name, body, positional-parameter, variable, redirection, invocation, and status semantics.	shell:tag_18_09_05.q35	open	missing:shell:tag_18_09_05.r004_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_05.r004.
shell:tag_18_09_05.r005	shell:tag_18_09_05	shell	tag_18_09_05	5	When the function is declared, none of the expansions in wordexp shall be performed on the text in compound-command or io-redirect; all expansions shall be performed as normal each time the function is called. Similarly, the optional io-redirect redirections and any variable assignments within compound-command shall be performed during the execution of the function itself, not the function definition. See Consequences of Shell Errors for the consequences of failures of these operations on interactive and non-interactive shells.	7e9a7ed6dc2098271f801850f33cd56881c06264b09d91aa53d1e7ddf3671cdb	Define functions with the required name, body, positional-parameter, variable, redirection, invocation, and status semantics.	shell:tag_18_09_05.q35	open	missing:shell:tag_18_09_05.r005_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_05.r005.
shell:tag_18_09_05.r006	shell:tag_18_09_05	shell	tag_18_09_05	6	When a function is executed, it shall have the syntax-error properties described for special built-in utilities in the first item in the enumerated list at the beginning of Special Built-In Utilities.	81e810c2b91fd0f679ebca7f37b07075cc9da7c8abe59b469fd8555080493bcf	Define functions with the required name, body, positional-parameter, variable, redirection, invocation, and status semantics.	shell:tag_18_09_05.q35	open	missing:shell:tag_18_09_05.r006_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_05.r006.
shell:tag_18_09_05.r007	shell:tag_18_09_05	shell	tag_18_09_05	7	The compound-command shall be executed whenever the function name is specified as the name of a simple command (see Command Search and Execution). The operands to the command temporarily shall become the positional parameters during the execution of the compound-command; the special parameter '#' also shall be changed to reflect the number of operands. The special parameter 0 shall be unchanged. When the function completes, the values of the positional parameters and the special parameter '#' shall be restored to the values they had before the function was executed. If the special built-in return (see return) is executed in the compound-command, the function completes and execution shall resume with the next command after the function call.	40737e5d50758c1714fc2ff9211cb3a4c3f7a8035176c39c9fc82e782d13ce65	Define functions with the required name, body, positional-parameter, variable, redirection, invocation, and status semantics.	shell:tag_18_09_05.q35	open	missing:shell:tag_18_09_05.r007_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_05.r007.
shell:tag_18_09_05.r008	shell:tag_18_09_05	shell	tag_18_09_05	8	The exit status of a function definition shall be zero if the function was declared successfully; otherwise, it shall be greater than zero. The exit status of a function invocation shall be the exit status of the last command executed by the function.	f9d8a8252f68a7a02c63e9855e995c78ab5292f3ce39ea4bacea09e317bc0c70	Define functions with the required name, body, positional-parameter, variable, redirection, invocation, and status semantics.	shell:tag_18_09_05.q35	open	missing:shell:tag_18_09_05.r008_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_09_05.r008.
shell:tag_18_11.r001	shell:tag_18_11	shell	tag_18_11	1	If job control is disabled (see the description of set -m) when the shell executes an asynchronous list, the commands in the list shall inherit from the shell a signal action of ignored (SIG_IGN) for the SIGINT and SIGQUIT signals. In all other cases, commands executed by the shell shall inherit the same signal actions as those inherited by the shell from its parent unless a signal action is modified by the trap special built-in (see trap)	e02487770db7e0ee753a2c05472e6bd82a8529222218561e8705f4e24d32d0ed	Deliver the specified signal dispositions, traps, interrupt behavior, and shell error interactions in the Ring 3 execution environment.	shell:tag_18_11.q35	open	missing:shell:tag_18_11.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_11.r001.
shell:tag_18_11.r002	shell:tag_18_11	shell	tag_18_11	2	When a signal for which a trap has been set is received while the shell is waiting for the completion of a utility executing a foreground command, the trap associated with that signal shall not be executed until after the foreground command has completed. When the shell is waiting, by means of the wait utility, for asynchronous commands to complete, the reception of a signal for which a trap has been set shall cause the wait utility to return immediately with an exit status >128, immediately after which the trap associated with that signal shall be taken.	e0627314683416f9f9074d5f3fdad3c69a068510abbf8e1913f56fd32ce2d5ad	Deliver the specified signal dispositions, traps, interrupt behavior, and shell error interactions in the Ring 3 execution environment.	shell:tag_18_11.q35	open	missing:shell:tag_18_11.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_11.r002.
shell:tag_18_11.r003	shell:tag_18_11	shell	tag_18_11	3	If multiple signals are pending for the shell for which there are associated trap actions, the order of execution of trap actions is unspecified.	6827fafc91182743d4389640bffc9655e7b36c30a7bfef927d7b5eccfa4ce7c0	Deliver the specified signal dispositions, traps, interrupt behavior, and shell error interactions in the Ring 3 execution environment.	shell:tag_18_11.q35	open	missing:shell:tag_18_11.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_11.r003.
shell:tag_18_12.r001	shell:tag_18_12	shell	tag_18_12	1	A shell execution environment consists of the following:	240dfe928f94a097f896df9da23b596da91e159b489e2ab8615921d0e4a43b70	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r001.
shell:tag_18_12.r002	shell:tag_18_12	shell	tag_18_12	2	Open files inherited upon invocation of the shell, plus open files controlled by exec	cb8e2a2efb5ec997bdd9f02f93f9de6ddc81d2d4a85f5c82f357a0dc999b3ea8	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r002.
shell:tag_18_12.r003	shell:tag_18_12	shell	tag_18_12	3	Working directory as set by cd	75138e3c987b14627f83e8c80af54291e32e56771395f49088e125bfcc42d160	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r003.
shell:tag_18_12.r004	shell:tag_18_12	shell	tag_18_12	4	File creation mask set by umask	47e140c2c7664641aaf8783684ef4d12579a15c373269a56f9c5ad5711ffeea9	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r004_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r004.
shell:tag_18_12.r005	shell:tag_18_12	shell	tag_18_12	5	[XSI] File size limit as set by ulimit	ea529fc8c9ee755ff9dfea0a8759977b6b6de4810df44e0402b253fa34c39a67	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r005_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r005.
shell:tag_18_12.r006	shell:tag_18_12	shell	tag_18_12	6	Current traps set by trap	801bbdfb238c8333675ec617d59c4773c568f5e8a93265f86e2afa5ec1993172	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r006_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r006.
shell:tag_18_12.r007	shell:tag_18_12	shell	tag_18_12	7	Shell parameters that are set by variable assignment (see the set special built-in) or from the System Interfaces volume of POSIX.1-2017 environment inherited by the shell when it begins (see the export special built-in)	50051399c70d2ac7e0b8fbbcbb2386a069052d0416d66c9a35a0d3dd911643d5	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r007_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r007.
shell:tag_18_12.r008	shell:tag_18_12	shell	tag_18_12	8	Shell functions; see Function Definition Command	91e7efc9b35fffdaba58949fc52d681294d48c8868bb7e6d56ec5fb58ebd8b35	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r008_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r008.
shell:tag_18_12.r009	shell:tag_18_12	shell	tag_18_12	9	Options turned on at invocation or by set	7aa4b2b245161509f1fd55e3e9b21dcce1492cb2a5c04bbac257d70300b26d81	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r009_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r009.
shell:tag_18_12.r010	shell:tag_18_12	shell	tag_18_12	10	Process IDs of the last commands in asynchronous lists known to this shell environment; see Asynchronous Lists	59e1365e8e199d44bf658f870c05bd90ac49685e88942fa2c97583c4123abb0d	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r010_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r010.
shell:tag_18_12.r011	shell:tag_18_12	shell	tag_18_12	11	Shell aliases; see Alias Substitution	4c1aca7ab3f505f2c630554c811ad39e7dbf0ff8ddd9d1e184dceefe9b14fa80	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r011_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r011.
shell:tag_18_12.r012	shell:tag_18_12	shell	tag_18_12	12	Utilities other than the special built-ins (see Special Built-In Utilities) shall be invoked in a separate environment that consists of the following. The initial value of these objects shall be the same as that for the parent shell, except as noted below.	ce306b3fe05bed996890541c820868b8fbb002596da505d20858e39e2598d927	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r012_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r012.
shell:tag_18_12.r013	shell:tag_18_12	shell	tag_18_12	13	Open files inherited on invocation of the shell, open files controlled by the exec special built-in plus any modifications, and additions specified by any redirections to the utility	699b6869eed24ce8657215ef13211d211fe6267918de43f2f7c29cae3bea08b9	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r013_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r013.
shell:tag_18_12.r014	shell:tag_18_12	shell	tag_18_12	14	Current working directory	3acde02319cd79c162fd66cafd488d796954f3c12bbc874c045161e3a9ec60b7	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r014_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r014.
shell:tag_18_12.r015	shell:tag_18_12	shell	tag_18_12	15	File creation mask	0038e10811a6a0c260e78b764fa37101ddf9128d175823f7de39e169a3d4dbda	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r015_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r015.
shell:tag_18_12.r016	shell:tag_18_12	shell	tag_18_12	16	If the utility is a shell script, traps caught by the shell shall be set to the default values and traps ignored by the shell shall be set to be ignored by the utility; if the utility is not a shell script, the trap actions (default or ignore) shall be mapped into the appropriate signal handling actions for the utility	b9dd776bc8e6869bdfa872f9fff096909f236a10d928cb1dc03b55ecb0c5ec8e	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r016_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r016.
shell:tag_18_12.r017	shell:tag_18_12	shell	tag_18_12	17	Variables with the export attribute, along with those explicitly exported for the duration of the command, shall be passed to the utility environment variables	2b42daaf30643c3f432cda018ceb19aa3d80ecbf74aa0daf95a6ce6d966efe31	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r017_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r017.
shell:tag_18_12.r018	shell:tag_18_12	shell	tag_18_12	18	The environment of the shell process shall not be changed by the utility unless explicitly specified by the utility description (for example, cd and umask).	1981dadb6d5f944daa68dd5bda7a49842b965b8a98ea05077d58307be2c8f546	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r018_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r018.
shell:tag_18_12.r019	shell:tag_18_12	shell	tag_18_12	19	A subshell environment shall be created as a duplicate of the shell environment, except that signal traps that are not being ignored shall be set to the default action. Changes made to the subshell environment shall not affect the shell environment. Command substitution, commands that are grouped with parentheses, and asynchronous lists shall be executed in a subshell environment. Additionally, each command of a multi-command pipeline is in a subshell environment; as an extension, however, any or all commands in a pipeline may be executed in the current environment. All other commands shall be executed in the current shell environment.	5779c619c8fdb545365c2f624221033e937175f982a7d3ada36d2698818762a3	Preserve the shell execution environment, subshell boundaries, variables, descriptors, working directory, and inherited state across command execution.	shell:tag_18_12.q35	open	missing:shell:tag_18_12.r019_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_12.r019.
shell:tag_18_13.r001	shell:tag_18_13	shell	tag_18_13	1	The pattern matching notation described in this section is used to specify patterns for matching strings in the shell. Historically, pattern matching notation is related to, but slightly different from, the regular expression notation described in XBD Regular Expressions. For this reason, the description of the rules for this pattern matching notation are based on the description of regular expression notation, modified to account for the differences.	e77b4e60de868bc0d6a9f44008199d9f7cebc55e1b40643ecc46c2d038318ec3	Implement the complete pattern matching notation used by case matching and pathname expansion.	shell:tag_18_13.q35	open	missing:shell:tag_18_13.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject shell:tag_18_13.r001.
