# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: susv4-2018/utilities/V3_chap02.html
# derivation: every prose, list, and definition assertion in each selected parent section, excluding Examples sections
# snapshot-count: 724
# ordered-requirement-sha256: da00cbb9b7af9b288ad1ae2e533a0c5076e3729b0068a176e968cb36f41ae6c3
# state invariant: every recursive requirement is exactly open or closed and every open row has a falsifier
requirement	parent	ordinal	assertion	assertion_sha256	implementation_requirement	state	witness	next_action	falsifier
tag_18_02.r010	tag_18_02	10	`	8d33f520a3c4cef80d2453aef81b612bfe1cb44c8b2025630ad38662763f13d3	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r010_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r010.
tag_18_02.r011	tag_18_02	11	The backquote shall retain its special meaning introducing the other form of command substitution (see Command Substitution). The portion of the quoted string from the initial backquote and the characters up to the next backquote that is not preceded by a <backslash>, having escape characters removed, defines that command whose output replaces "`...`" when the word is expanded. Either of the following cases produces undefined results: A single-quoted or double-quoted string that begins, but does not end, within the "`...`" sequence A "`...`" sequence that begins, but does not end, within the same double-quoted string	988b682f08f7e1ce0f06c7af6bb90d247c3f50e7c9c130eff3e43df6a4e3e589	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r011_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r011.
tag_18_02.r012	tag_18_02	12	\	a9253dc8529dd214e5f22397888e78d3390daa47593e26f68c18f97fd7a3876b	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r012_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r012.
tag_18_02.r013	tag_18_02	13	The <backslash> shall retain its special meaning as an escape character (see Escape Character (Backslash)) only when followed by one of the following characters when considered special: $ ` " \ <newline>	7d21a7a0dacb9a104fd37958467eac19f1a58df6d5a56e9826ddbccf8450f606	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r013_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r013.
tag_18_02.r014	tag_18_02	14	The application shall ensure that a double-quote is preceded by a <backslash> to be included within double-quotes. The parameter '@' has special meaning inside double-quotes and is described in Special Parameters .	823960b474e22012bb68212de8020d5f2babeaa8f31796de9c2df905fbfffc35	Preserve quoting boundaries and the specified backslash, single-quote, double-quote, command-substitution, and here-document interactions.	open	missing:tag_18_02.r014_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_02.r014.
tag_18_04.r001	tag_18_04	1	Reserved words are words that have special meaning to the shell; see Shell Commands. The following words shall be recognized as reserved words:	8ed0cc37886cb1e19bfa30acddf30f1857b0714c2b2613e3a4e332271a986898	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r001.
tag_18_04.r002	tag_18_04	2	! { } case	65d06f3a2930ee43d58ba6841d5fddb0118f67c8c56efd20359619f4e07d62d7	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r002.
tag_18_04.r003	tag_18_04	3	do done elif else	788bd3811c3da486f28f5ce423a400f08e6fce7505bb92be4cd2ff7771f52311	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r003.
tag_18_04.r004	tag_18_04	4	esac fi for if	a0319f7ca7fd37dcb32aa405d5d1d8cef60508e1fc18a386c4823874a20dd460	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r004_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r004.
tag_18_04.r005	tag_18_04	5	in then until while	ad31b4520dc7b0a18d8fe277009f524a62290ce57eb6084726da88c8e984d5d0	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r005_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r005.
tag_18_04.r006	tag_18_04	6	This recognition shall only occur when none of the characters is quoted and when the word is used as:	5e6da63b6912d1804e97a42bf66859e9bbfc74a6d36cf2d74864945b26b24579	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r006_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r006.
tag_18_04.r007	tag_18_04	7	The first word of a command	1655691234eacbcc9125940b01d85ec200baf237c584ec33ee7f5147ae721ad2	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r007_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r007.
tag_18_04.r008	tag_18_04	8	The first word following one of the reserved words other than case, for, or in	1fdfd7ce424850cc6809a10319849c5d214b1cd1e6d891a818959afa2a43057a	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r008_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r008.
tag_18_04.r009	tag_18_04	9	The third word in a case command (only in is valid in this case)	77b168db19d91443ce97305e6fbf62895db04dc763286e05167e76b35a0e4825	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r009_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r009.
tag_18_04.r010	tag_18_04	10	The third word in a for command (only in and do are valid in this case)	7ee7ccfb515b9c91a654a8ca468684512556bad9c39f8e8f363ebe2891d3d443	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r010_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r010.
tag_18_04.r011	tag_18_04	11	See the grammar in Shell Grammar.	a1c8c37f53878a67fae884a18d56985462e56402b41e26656536f7a197d7b5b3	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r011_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r011.
tag_18_04.r012	tag_18_04	12	The following words may be recognized as reserved words on some implementations (when none of the characters are quoted), causing unspecified results:	19cf505829d4619414e6c38f5f1ad420d6d7070c60dcc8557230115d78b2fc44	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r012_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r012.
tag_18_04.r013	tag_18_04	13	[[	0ec5c5ea45532e7c4ca8006c92d436f2dac7d356e3a1f1e5ba17f8f2c78a398d	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r013_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r013.
tag_18_04.r014	tag_18_04	14	]]	591e35f7c09e66f6a174fdc0754b308272f6c6d8b52f5d57c5f58431ea4d0055	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r014_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r014.
tag_18_04.r015	tag_18_04	15	function	78f9ac018e554365069108352dacabb7fbd15246edf19400677e3b54fe24e126	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r015_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r015.
tag_18_04.r016	tag_18_04	16	select	b1a36d25d9633ed2ac04939fcb614ccb2b513243c148f18694592ae037f9d35f	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r016_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r016.
tag_18_04.r017	tag_18_04	17	Words that are the concatenation of a name and a <colon> ( ':' ) are reserved; their use produces unspecified results.	f528f259eebc7eb616f16b0c4b78abbcf93b1f523c8164618eec4d5fd40003fd	Recognize reserved words only in the grammar contexts that permit them and keep quoted or embedded spellings as ordinary words.	open	missing:tag_18_04.r017_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_04.r017.
tag_18_05.r001	tag_18_05	1	A parameter can be denoted by a name, a number, or one of the special characters listed in Special Parameters. A variable is a parameter denoted by a name.	7cc41ef06874eab94dffc0c7760bed291e06b0729c92e0d54e51db245d9202ff	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r001_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r001.
tag_18_05.r002	tag_18_05	2	A parameter is set if it has an assigned value (null is a valid value). Once a variable is set, it can only be unset by using the unset special built-in command.	76109ed13b8b5c750b1461696d414f70ef7bf71a5a5427f13ee06fd7cb312e94	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r002_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r002.
tag_18_05.r003	tag_18_05	3	A positional parameter is a parameter denoted by the decimal value represented by one or more digits, other than the single digit 0. The digits denoting the positional parameters shall always be interpreted as a decimal value, even if there is a leading zero. When a positional parameter with more than one digit is specified, the application shall enclose the digits in braces (see Parameter Expansion). Positional parameters are initially assigned when the shell is invoked (see sh), temporarily replaced when a shell function is invoked (see Function Definition Command), and can be reassigned with the set special built-in command.	a6de66569bbf790e5bf0eb27d41f3c7115d5dd7bb17b9b99ae0cb60b72d8d8d8	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r003_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r003.
tag_18_05.r004	tag_18_05	4	Listed below are the special parameters and the values to which they shall expand. Only the values of the special parameters are listed; see wordexp for a detailed summary of all the stages involved in expanding words.	2411f7edde9de4e878e685a2dc42c32d78b5e6b4beaa95f8ed9c2623ed6663d9	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r004_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r004.
tag_18_05.r005	tag_18_05	5	@	c3641f8544d7c02f3580b07c0f9887f0c6a27ff5ab1d4a3e29caf197cfc299ae	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r005_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r005.
tag_18_05.r006	tag_18_05	6	Expands to the positional parameters, starting from one, initially producing one field for each positional parameter that is set. When the expansion occurs in a context where field splitting will be performed, any empty fields may be discarded and each of the non-empty fields shall be further split as described in Field Splitting. When the expansion occurs within double-quotes, the behavior is unspecified unless one of the following is true: Field splitting as described in Field Splitting would be performed if the expansion were not within double-quotes (regardless of whether field splitting would have any effect; for example, if IFS is null). The double-quotes are within the word of a ${parameter:-word} or a ${parameter:+word} expansion (with or without the <colon>; see Parameter Expansion) which would have been subject to field splitting if parameter had been expanded instead of word. If one of these conditions is true, the initial fields shall be retained as separate fields, except that if the parameter being expanded was embedded within a word, the first field shall be joined with the beginning part of the original word and the last field shall be joined with the end part of the original word. In all other contexts the results of the expansion are unspecified. If there are no positional parameters, the expansion of '@' shall generate zero fields, even when '@' is within double-quotes; however, if the expansion is embedded within a word which contains one or more other parts that expand to a quoted null string, these null string(s) shall still produce an empty field, except that if the other parts are all within the same double-quotes as the '@', it is unspecified whether the result is zero fields or one empty field.	e744ed9b0a52ffcefc61f59f7715deae196867f1b69741dc8188d348f4bbe74b	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r006_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r006.
tag_18_05.r007	tag_18_05	7	*	684888c0ebb17f374298b65ee2807526c066094c701bcc7ebbe1c1095f494fc1	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r007_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r007.
tag_18_05.r008	tag_18_05	8	Expands to the positional parameters, starting from one, initially producing one field for each positional parameter that is set. When the expansion occurs in a context where field splitting will be performed, any empty fields may be discarded and each of the non-empty fields shall be further split as described in Field Splitting. When the expansion occurs in a context where field splitting will not be performed, the initial fields shall be joined to form a single field with the value of each parameter separated by the first character of the IFS variable if IFS contains at least one character, or separated by a <space> if IFS is unset, or with no separation if IFS is set to a null string.	70674535c2a226aa10e3207e8baa3491a3d2268eceef06d60a4d224b48e33c9c	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r008_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r008.
tag_18_05.r009	tag_18_05	9	#	334359b90efed75da5f0ada1d5e6b256f4a6bd0aee7eb39c0f90182a021ffc8b	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r009_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r009.
tag_18_05.r010	tag_18_05	10	Expands to the decimal number of positional parameters. The command name (parameter 0) shall not be counted in the number given by '#' because it is a special parameter, not a positional parameter.	d59e6d667c29b4c199b7972b1fe76e3876c74af609fd2eb52e8dd961cad43110	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r010_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r010.
tag_18_05.r011	tag_18_05	11	?	8a8de823d5ed3e12746a62ef169bcf372be0ca44f0a1236abc35df05d96928e1	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r011_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r011.
tag_18_05.r012	tag_18_05	12	Expands to the decimal exit status of the most recent pipeline (see Pipelines).	978604535d46db1588eaebb777079bb6f080be3e411084e0a9c893a8f7b8ecec	Implement named, numeric, and special parameters with the specified expansion, assignment, inheritance, and unset behavior.	open	missing:tag_18_05.r012_q35_ring3_witness	Add an exact Q35 Ring 3 case for this assertion, then run the mutation falsifier before closing it.	Mutate the assertion or remove its witness; verification must reject tag_18_05.r012.
